,nodes,steps,airtemp,humidity,rainfall,landtemp
227,1,228,30.0,0.82528293,2.5080786,30.0
228,1,229,30.0,0.8591088,13.744409,30.0
229,1,230,30.0,0.86938494,25.656652,30.0
230,1,231,30.0,0.8412046,16.953146,30.0
231,1,232,30.0,0.84632313,11.281443,30.0
232,1,233,30.0,0.8631036,25.940657,30.0
233,1,234,30.0,0.88239676,11.446022,30.0
234,1,235,30.0,0.845966,11.106352,30.0
235,1,236,30.0,0.8868785,15.364236,30.0
236,1,237,30.0,0.91125137,15.388764,30.0
237,1,238,30.0,0.8736455,11.325749,30.0
238,1,239,30.0,0.8664287,8.447324,30.0
239,1,240,30.0,0.8567584,7.766614,30.0
240,1,241,30.0,0.87769645,9.0225115,30.0
241,1,242,30.0,0.8781418,12.81144,30.0
242,1,243,30.0,0.90086246,58.975456,30.0
243,1,244,30.0,0.9116399,13.6143055,30.0
244,1,245,30.0,0.8985522,4.431199,30.0
245,1,246,30.0,0.8800945,13.101397,30.0
246,1,247,30.0,0.90816504,8.484728,30.0
247,1,248,30.0,0.880491,9.037307,30.0
248,1,249,30.0,0.8802888,2.9595175,30.0
249,1,250,30.0,0.84261835,12.972286,30.0
250,1,251,30.0,0.90006137,24.00362,30.0
251,1,252,30.0,0.8410503,1.5846958,30.0
252,1,253,30.0,0.8533427,8.159034,30.0
253,1,254,30.0,0.8662059,31.178284,30.0
254,1,255,30.0,0.8696008,6.0728617,30.0
255,1,256,30.0,0.7934934,0.16351056,30.0
256,1,257,30.0,0.82796115,0.7386086,30.0
257,1,258,30.0,0.82295287,3.4200637,30.0
258,1,259,30.0,0.85437006,11.002739,30.0
259,1,260,30.0,0.81742114,0.28205392,30.0
260,1,261,30.0,0.8308627,0.20474072,30.0
261,1,262,30.0,0.8450934,6.187975,30.0
262,1,263,30.0,0.7870039,2.796269,30.0
263,1,264,30.0,0.8467129,5.388788,30.0
264,1,265,30.0,0.86263293,11.122012,30.0
265,1,266,30.0,0.82285506,2.1897664,30.0
266,1,267,30.0,0.83385026,0.003920087,30.0
267,1,268,30.0,0.83604884,3.8197448,30.0
268,1,269,30.0,0.86533207,14.886098,30.0
269,1,270,30.0,0.84372395,0.8406903,30.0
270,1,271,30.0,0.7956659,3.3776057,30.0
271,1,272,30.0,0.82303745,1.5528592,30.0
272,1,273,30.0,0.85646313,8.81986,30.0
273,1,274,30.0,0.84592843,0.90061206,30.0
274,1,275,30.0,0.83100575,2.5099628,30.0
275,1,276,30.0,0.8453319,5.437928,30.0
276,1,277,30.0,0.81591564,0.35722193,30.0
277,1,278,30.0,0.85014015,5.085007,30.0
278,1,279,30.0,0.87906355,13.160709,30.0
279,1,280,30.0,0.78437555,0.015033981,30.0
280,1,281,30.0,0.8276395,0.8241348,30.0
281,1,282,30.0,0.8286043,3.0117664,30.0
282,1,283,30.0,0.7980171,0.32590598,30.0
283,1,284,30.0,0.84267694,4.303729,30.0
284,1,285,30.0,0.78958863,0.6298073,30.0
285,1,286,30.0,0.78448564,0.057459354,30.0
286,1,287,30.0,0.8058003,3.8143783,30.0
287,1,288,30.0,0.8345779,5.368231,30.0
288,1,289,30.0,0.82031834,9.031728,30.0
289,1,290,30.0,0.7940216,0.24880548,30.0
290,1,291,30.0,0.7836514,0.163277,30.0
291,1,292,30.0,0.8039602,0.4116003,30.0
292,1,293,30.0,0.8150676,0.53898394,30.0
293,1,294,30.0,0.782003,0.026228176,30.0
294,1,295,30.0,0.7837297,0.053788,30.0
295,1,296,30.0,0.8017782,0.0,30.0
296,1,297,30.0,0.7873107,0.00097484834,30.0
297,1,298,30.0,0.8268391,0.03122067,30.0
298,1,299,30.0,0.7821484,0.032059047,30.0
299,1,300,30.0,0.7817862,0.53943735,30.0
300,1,301,30.0,0.8316034,8.148754,30.0
301,1,302,30.0,0.8411303,5.194788,30.0
302,1,303,30.0,0.7795394,0.118405186,30.0
303,1,304,30.0,0.7760427,0.2972199,30.0
304,1,305,30.0,0.73056966,0.0014198662,30.0
